datetime,temperature_C
2023-10-14T16:38:00Z,31.3
2023-10-14T16:42:00Z,31.8
2023-10-14T16:48:00Z,30.1
2023-10-14T16:54:00Z,30.6
2023-10-14T16:58:00Z,30.9
2023-10-14T17:04:00Z,31
2023-10-14T17:08:00Z,29.3
2023-10-15T04:58:00Z,-10
2023-10-15T05:08:00Z,27
2023-10-15T05:12:00Z,26.9
2023-10-15T05:18:00Z,26.6
2023-10-15T05:22:00Z,26.4
2023-10-15T05:28:00Z,26.2
2023-10-15T05:32:00Z,26.1
2023-10-15T05:36:00Z,27.9
2023-10-15T05:42:00Z,27.6
2023-10-15T05:46:00Z,27.4
2023-10-15T05:52:00Z,29
2023-10-15T05:56:00Z,28.4
2023-10-15T06:02:00Z,30
2023-10-15T06:06:00Z,29.8
2023-10-15T06:12:00Z,29.6
2023-10-15T06:22:00Z,29.5
2023-10-15T06:26:00Z,31
2023-10-15T06:32:00Z,30.3
2023-10-15T06:36:00Z,31.4
2023-10-15T06:42:00Z,33
2023-10-15T06:46:00Z,32.6
2023-10-15T06:52:00Z,34
2023-10-15T06:56:00Z,34.9
2023-10-15T07:02:00Z,34.1
2023-10-15T07:06:00Z,34.2
2023-10-15T07:10:00Z,34.2
2023-10-15T07:12:00Z,35.6
2023-10-15T07:16:00Z,36.9
2023-10-15T07:22:00Z,37.3
2023-10-15T07:32:00Z,39.4
2023-10-15T07:36:00Z,40.3
2023-10-15T07:42:00Z,41.4
2023-10-15T07:46:00Z,42.2
2023-10-15T07:52:00Z,42.4
2023-10-15T07:56:00Z,42.8
2023-10-15T07:58:00Z,42.8
2023-10-15T08:02:00Z,42.4
2023-10-15T08:06:00Z,42.8
2023-10-15T08:12:00Z,41.1
2023-10-15T08:16:00Z,41.3
2023-10-15T08:22:00Z,41.9
2023-10-15T08:26:00Z,40.8
2023-10-15T08:32:00Z,39.3
2023-10-15T08:42:00Z,41.3
2023-10-15T08:52:00Z,44.6
2023-10-15T08:56:00Z,44.4
2023-10-15T09:00:00Z,46
2023-10-15T09:06:00Z,46.7
2023-10-15T09:12:00Z,45.3
2023-10-15T09:16:00Z,46.3
2023-10-15T09:26:00Z,50
2023-10-15T09:30:00Z,49.3
2023-10-15T09:36:00Z,50.7
2023-10-15T09:40:00Z,52
2023-10-15T09:46:00Z,52.3
2023-10-15T09:56:00Z,55.8
2023-10-15T10:00:00Z,55.5
2023-10-15T10:06:00Z,53.9
2023-10-15T10:10:00Z,52.3
2023-10-15T10:16:00Z,53.3
2023-10-15T10:20:00Z,54.4
2023-10-15T10:26:00Z,54.7
2023-10-15T10:36:00Z,55.8
2023-10-15T10:46:00Z,53.9
2023-10-15T10:56:00Z,54.2
2023-10-15T10:58:00Z,54.2
2023-10-15T11:00:00Z,54.7
2023-10-15T11:06:00Z,56
2023-10-15T11:10:00Z,54.9
2023-10-15T11:16:00Z,55
2023-10-15T11:20:00Z,53.3
2023-10-15T11:26:00Z,52.4
2023-10-15T11:30:00Z,54
2023-10-15T11:36:00Z,53.3
2023-10-15T11:40:00Z,52.2
2023-10-15T11:46:00Z,53.6
2023-10-15T11:50:00Z,55
2023-10-15T12:00:00Z,53.8
2023-10-15T12:06:00Z,53
2023-10-15T12:16:00Z,50.2
2023-10-15T12:20:00Z,50.4
2023-10-15T12:30:00Z,47.5
2023-10-15T12:36:00Z,49
2023-10-15T12:40:00Z,48.7
2023-10-15T12:46:00Z,48.8
2023-10-15T12:50:00Z,48.4
2023-10-15T12:56:00Z,49.3
2023-10-15T13:00:00Z,49.2
2023-10-15T13:06:00Z,50.4
2023-10-15T13:16:00Z,50.7
2023-10-15T13:20:00Z,49.8
2023-10-15T13:28:00Z,49.8
2023-10-15T13:30:00Z,49.9
2023-10-15T13:34:00Z,48.3
2023-10-15T13:40:00Z,48.8
2023-10-15T13:44:00Z,47.5
2023-10-15T13:50:00Z,46.6
2023-10-15T13:54:00Z,46
2023-10-15T14:00:00Z,44.7
2023-10-15T14:04:00Z,44.6
2023-10-15T14:10:00Z,44.2
