datetime,W
2023-10-14T08:24:00Z,1108
2023-10-14T08:30:00Z,1072
2023-10-14T08:34:00Z,941
2023-10-14T08:40:00Z,999
2023-10-14T08:48:00Z,1105
2023-10-14T08:50:00Z,1142
2023-10-14T08:54:00Z,1173
2023-10-14T09:00:00Z,1232
2023-10-14T09:04:00Z,1363
2023-10-14T09:10:00Z,1360
2023-10-14T09:14:00Z,1374
2023-10-14T09:20:00Z,1360
2023-10-14T09:24:00Z,1267
2023-10-14T09:30:00Z,1403
2023-10-14T09:34:00Z,1460
2023-10-14T10:00:00Z,1438
2023-10-14T10:04:00Z,1686
2023-10-14T10:10:00Z,1446
2023-10-14T10:14:00Z,1379
2023-10-14T10:20:00Z,1347
2023-10-14T10:24:00Z,1066
2023-10-14T10:30:00Z,1163
2023-10-14T10:34:00Z,1121
2023-10-14T10:40:00Z,951
2023-10-14T10:44:00Z,1008
2023-10-14T10:50:00Z,922
2023-10-14T10:54:00Z,804
2023-10-14T11:00:00Z,894
2023-10-14T11:04:00Z,1021
2023-10-14T11:10:00Z,1008
2023-10-14T11:14:00Z,886
2023-10-14T11:20:00Z,791
2023-10-14T11:24:00Z,885
2023-10-14T11:30:00Z,1005
2023-10-14T11:34:00Z,1159
2023-10-14T11:40:00Z,1107
2023-10-14T11:44:00Z,838
2023-10-14T11:50:00Z,926
2023-10-14T11:54:00Z,960
2023-10-14T12:00:00Z,857
2023-10-14T12:04:00Z,837
2023-10-14T12:14:00Z,953
2023-10-14T12:20:00Z,829
2023-10-14T12:24:00Z,596
2023-10-14T12:30:00Z,630
2023-10-14T12:34:00Z,819
2023-10-14T12:38:00Z,855
2023-10-14T12:44:00Z,1010
2023-10-14T12:46:00Z,1010
2023-10-14T12:48:00Z,1196
2023-10-14T12:54:00Z,825
2023-10-14T12:58:00Z,796
2023-10-14T13:04:00Z,863
2023-10-14T13:08:00Z,588
2023-10-14T13:14:00Z,509
2023-10-14T13:18:00Z,492
2023-10-14T13:24:00Z,695
2023-10-14T13:28:00Z,715
2023-10-14T13:34:00Z,612
2023-10-14T13:38:00Z,632
2023-10-14T13:44:00Z,662
2023-10-14T13:48:00Z,615
2023-10-14T13:54:00Z,522
2023-10-14T13:58:00Z,679
2023-10-14T14:04:00Z,837
2023-10-14T14:08:00Z,884
2023-10-14T14:14:00Z,1063
2023-10-14T14:18:00Z,1215
2023-10-14T14:24:00Z,1054
2023-10-14T14:28:00Z,1055
2023-10-14T14:34:00Z,1196
2023-10-14T14:38:00Z,1042
2023-10-14T14:44:00Z,678
2023-10-14T14:48:00Z,779
2023-10-14T14:54:00Z,736
2023-10-14T14:58:00Z,341
2023-10-14T15:04:00Z,292
2023-10-14T15:08:00Z,327
2023-10-14T15:14:00Z,315
2023-10-14T15:18:00Z,340
2023-10-14T15:24:00Z,476
2023-10-14T15:28:00Z,362
2023-10-14T15:34:00Z,160
2023-10-14T15:38:00Z,193
